market_id,ticker,start,open,high,low,close,count
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T15:25:00+00:00,4.0,4.0,4.0,4.0,2
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T15:30:00+00:00,4.0,4.0,4.0,4.0,1
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:10:00+00:00,6.0,6.0,5.0,5.0,2
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:15:00+00:00,6.0,6.0,6.0,6.0,2
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:20:00+00:00,6.0,6.0,6.0,6.0,3
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:25:00+00:00,4.0,5.0,4.0,5.0,2
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:30:00+00:00,4.0,4.0,4.0,4.0,1
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:40:00+00:00,4.0,4.0,2.0,2.0,3
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:45:00+00:00,2.0,2.0,2.0,2.0,3
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T16:50:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T17:00:00+00:00,2.0,2.0,2.0,2.0,2
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T17:15:00+00:00,2.0,2.0,2.0,2.0,1
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T17:20:00+00:00,2.0,2.0,1.0,1.0,2
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T19:40:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-27T20:30:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL27-B77.5,KXHIGHNY-25JUL27-B77.5,2025-07-28T03:45:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-T90,KXHIGHNY-25JUL26-T90,2025-07-26T00:50:00+00:00,1.0,5.0,1.0,5.0,2
KXHIGHNY-25JUL26-T90,KXHIGHNY-25JUL26-T90,2025-07-26T12:35:00+00:00,2.0,5.0,2.0,5.0,2
KXHIGHNY-25JUL26-T90,KXHIGHNY-25JUL26-T90,2025-07-26T17:50:00+00:00,2.0,4.0,2.0,4.0,4
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T01:30:00+00:00,4.0,4.0,4.0,4.0,36
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T01:40:00+00:00,4.0,4.0,4.0,4.0,22
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T01:45:00+00:00,4.0,4.0,4.0,4.0,4
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T02:05:00+00:00,3.0,3.0,3.0,3.0,4
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T02:55:00+00:00,3.0,3.0,3.0,3.0,3
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T03:00:00+00:00,3.0,3.0,1.0,1.0,5
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T04:30:00+00:00,3.0,3.0,3.0,3.0,2
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T05:00:00+00:00,3.0,3.0,3.0,3.0,8
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T05:10:00+00:00,4.0,4.0,4.0,4.0,1
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T06:55:00+00:00,2.0,2.0,2.0,2.0,1
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T12:00:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T12:20:00+00:00,2.0,2.0,2.0,2.0,8
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T13:55:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T16:50:00+00:00,1.0,1.0,1.0,1.0,2
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T17:50:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-B89.5,KXHIGHNY-25JUL26-B89.5,2025-07-26T18:00:00+00:00,1.0,1.0,1.0,1.0,1
