time,ticker,side,price,qty,status,filled
2026-01-05 21:08:30.426076,KXHIGHNY-26JAN06-B41.5,yes,24.0,1,executed,1
2026-01-05 21:08:38.130710,KXHIGHNY-26JAN06-B41.5,yes,23.0,1,executed,1
2026-01-05 21:09:15.707372,KXHIGHNY-26JAN06-B41.5,yes,23.0,1,executed,1
2026-01-05 21:15:48.579701,KXHIGHNY-26JAN06-B43.5,yes,19.0,2,executed,2
2026-01-05 21:16:42.689207,KXHIGHNY-26JAN06-B43.5,yes,18.0,2,executed,2
2026-01-05 21:17:54.070748,KXHIGHNY-26JAN06-B43.5,yes,18.0,2,executed,2
2026-01-05 21:18:02.466115,KXHIGHNY-26JAN06-B43.5,yes,18.0,1,executed,1
2026-01-05 21:18:02.656751,KXHIGHNY-26JAN06-B39.5,yes,21.0,2,executed,2
2026-01-05 21:18:03.240354,KXHIGHNY-26JAN06-B43.5,yes,17.0,1,executed,1
2026-01-05 21:18:10.243303,KXHIGHNY-26JAN06-B43.5,yes,16.0,1,executed,1
2026-01-05 21:18:17.793703,KXHIGHNY-26JAN06-B43.5,yes,18.0,1,executed,1
2026-01-05 21:18:46.139944,KXHIGHNY-26JAN06-B39.5,yes,25.0,1,executed,1
2026-01-05 21:18:48.489639,KXHIGHNY-26JAN06-B39.5,yes,25.0,1,executed,1
2026-01-05 21:27:01.139379,KXHIGHNY-26JAN06-B41.5,yes,23.0,1,executed,1
2026-01-05 21:28:24.244023,KXHIGHNY-26JAN06-B43.5,yes,17.0,1,executed,1
2026-01-05 21:28:26.505283,KXHIGHNY-26JAN06-B43.5,yes,17.0,1,executed,1
2026-01-05 21:30:36.574605,KXHIGHNY-26JAN06-B43.5,yes,13.0,1,executed,1
2026-01-05 21:39:09.067898,KXHIGHNY-26JAN06-B43.5,yes,19.0,1,executed,1
