time,action,ticker,price,qty,fee,cost,source,order_id
2026-01-06 15:26:37.685967,BUY_YES,KXHIGHNY-26JAN06-B43.5,16,1,0.01,0.17,MM,
2026-01-06 15:26:43.386773,BUY_NO,KXHIGHNY-26JAN06-B41.5,14,1,0.01,0.15000000000000002,MM,
2026-01-06 15:42:01.363376,BUY_YES,KXHIGHNY-26JAN06-B43.5,15,1,0.01,0.16,MM,
2026-01-06 15:42:20.689961,BUY_YES,KXHIGHNY-26JAN06-B43.5,13,1,0.01,0.14,MM,
2026-01-06 15:42:27.825042,BUY_YES,KXHIGHNY-26JAN06-B43.5,13,1,0.01,0.14,MM,
2026-01-06 15:42:30.405537,BUY_YES,KXHIGHNY-26JAN06-B43.5,12,1,0.01,0.13,MM,
2026-01-06 15:42:40.553303,BUY_NO,KXHIGHNY-26JAN06-B41.5,14,1,0.01,0.15000000000000002,MM,
2026-01-06 15:44:37.628684,BUY_YES,KXHIGHNY-26JAN06-B43.5,17,1,0.01,0.18000000000000002,MM,
2026-01-06 15:47:24.992767,BUY_NO,KXHIGHNY-26JAN06-B41.5,16,1,0.01,0.17,MM,
2026-01-06 16:02:50.741878,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,2,0.02,0.24,MM,
2026-01-06 16:02:59.138050,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,2,0.02,0.24,MM,
2026-01-06 16:03:53.551310,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,2,0.02,0.24,MM,
2026-01-06 16:03:57.207299,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,2,0.02,0.24,MM,
2026-01-06 16:04:01.901772,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,2,0.02,0.24,MM,
2026-01-06 16:04:09.089033,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,2,0.02,0.24,MM,
2026-01-06 16:04:51.669415,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,1,0.01,0.12,MM,
2026-01-06 16:05:14.915781,BUY_YES,KXHIGHNY-26JAN06-B43.5,10,1,0.01,0.11,MM,
2026-01-06 16:05:19.068201,BUY_YES,KXHIGHNY-26JAN06-B43.5,11,1,0.01,0.12,MM,
2026-01-06 23:20:07.019294,BUY_YES,KXHIGHNY-26JAN07-B45.5,11,1,0.01,0.12,MM,
2026-01-06 23:20:17.756032,BUY_YES,KXHIGHNY-26JAN07-B45.5,10,1,0.01,0.11,MM,
2026-01-06 23:20:49.601382,BUY_YES,KXHIGHNY-26JAN07-B45.5,8,1,0.01,0.09,MM,
2026-01-07 05:02:00.850122,BUY_YES,KXHIGHNY-26JAN07-B45.5,5,2,0.01,0.11,MM,
2026-01-07 05:08:58.547996,BUY_YES,KXHIGHNY-26JAN07-B45.5,3,23,0.05,0.74,MM,
2026-01-07 05:15:27.679959,BUY_YES,KXHIGHNY-26JAN07-B45.5,3,14,0.03,0.44999999999999996,MM,
2026-01-07 05:24:56.386493,BUY_YES,KXHIGHNY-26JAN07-B45.5,4,3,0.01,0.13,MM,
2026-01-07 05:35:31.920620,BUY_YES,KXHIGHNY-26JAN07-B45.5,3,2,0.01,0.06999999999999999,MM,
2026-01-07 07:10:25.913818,BUY_YES,KXHIGHNY-26JAN08-B50.5,25,1,0.02,0.27,MM,
2026-01-07 07:10:31.249613,BUY_YES,KXHIGHNY-26JAN08-B50.5,25,1,0.02,0.27,MM,
2026-01-07 07:10:55.431991,BUY_YES,KXHIGHNY-26JAN08-B52.5,10,3,0.02,0.32000000000000006,MM,
2026-01-07 07:11:05.753108,BUY_YES,KXHIGHNY-26JAN08-B52.5,10,4,0.03,0.43000000000000005,MM,
2026-01-07 07:11:23.367124,BUY_YES,KXHIGHNY-26JAN08-B50.5,24,1,0.02,0.26,MM,
2026-01-07 07:13:50.444321,BUY_YES,KXHIGHNY-26JAN08-B50.5,25,2,0.03,0.53,MM,
2026-01-07 07:14:04.122932,BUY_YES,KXHIGHNY-26JAN08-B50.5,23,2,0.03,0.49,MM,
2026-01-07 07:15:25.545308,BUY_YES,KXHIGHNY-26JAN08-B50.5,20,3,0.04,0.6400000000000001,MM,
2026-01-07 07:15:33.271565,BUY_YES,KXHIGHNY-26JAN08-T46,17,1,0.01,0.18000000000000002,MM,
2026-01-07 07:15:43.285209,BUY_YES,KXHIGHNY-26JAN08-T46,15,1,0.01,0.16,MM,
2026-01-07 07:15:58.984332,BUY_YES,KXHIGHNY-26JAN08-T46,15,1,0.01,0.16,MM,
2026-01-07 07:15:59.252149,BUY_YES,KXHIGHNY-26JAN08-B52.5,9,8,0.05,0.77,MM,
2026-01-07 07:16:05.547070,BUY_YES,KXHIGHNY-26JAN08-B52.5,10,8,0.06,0.8600000000000001,MM,
2026-01-07 07:16:14.405407,BUY_YES,KXHIGHNY-26JAN08-B52.5,10,3,0.02,0.32000000000000006,MM,
2026-01-07 07:16:30.370740,BUY_YES,KXHIGHNY-26JAN08-B52.5,9,6,0.04,0.5800000000000001,MM,
2026-01-07 07:16:42.258185,BUY_YES,KXHIGHNY-26JAN08-T46,13,1,0.01,0.14,MM,
2026-01-07 07:16:46.046994,BUY_YES,KXHIGHNY-26JAN08-B52.5,10,2,0.02,0.22,MM,
2026-01-07 07:16:47.445416,BUY_YES,KXHIGHNY-26JAN08-T46,11,1,0.01,0.12,MM,
2026-01-07 07:16:59.032554,BUY_YES,KXHIGHNY-26JAN08-T46,11,1,0.01,0.12,MM,
2026-01-07 07:17:02.748995,BUY_YES,KXHIGHNY-26JAN08-B52.5,9,2,0.02,0.19999999999999998,MM,
2026-01-07 07:17:18.847123,BUY_YES,KXHIGHNY-26JAN08-B52.5,9,2,0.02,0.19999999999999998,MM,
2026-01-07 08:28:02.721277,BUY_YES,KXHIGHNY-26JAN07-B51.5,16,1,0.01,0.17,MM,
