94728KNYC NYC20250601093011806/01/25 09:30:31  5-MIN KNYC 011430Z AUTO VRB06G17KT 10SM OVC050 14/04 A2973 340 52 300 VRB/06G17 RMK AO2 T01390044 $
94728KNYC NYC20250601093511206/01/25 09:35:31  5-MIN KNYC 011435Z AUTO VRB04KT 10SM OVC050 14/04 A2973 340 49 400 VRB/04 RMK AO2 T01440039 $
94728KNYC NYC20250601094011206/01/25 09:40:31  5-MIN KNYC 011440Z AUTO VRB05KT 10SM OVC050 14/04 A2973 340 51 400 VRB/05 RMK AO2 T01440044 $
94728KNYC NYC20250601094511506/01/25 09:45:31  5-MIN KNYC 011445Z AUTO 10SM OVC050 14/04 A2973 330 50 300 M /M RMK AO2 SLP059 T01390039 51020 $
94728KNYC NYC20250601095014706/01/25 09:50:31  5-MIN KNYC 011450Z AUTO 28010G22KT 270V330 10SM OVC050 14/04 A2973 330 50 300 300/10G22 280V340 RMK AO2 SLP059 T01390039 51020 $
94728KNYC NYC20250601095513406/01/25 09:55:31  5-MIN KNYC 011455Z AUTO 26010G22KT 230V300 10SM OVC050 14/04 A2973 330 51 400 270/10G22 240V310 RMK AO2 T01440044 $
94728KNYC NYC20250601100011806/01/25 10:00:31  5-MIN KNYC 011500Z AUTO VRB04G18KT 10SM OVC050 14/04 A2973 330 49 400 VRB/04G18 RMK AO2 T01440039 $
94728KNYC NYC20250601100510206/01/25 10:05:31  5-MIN KNYC 011505Z AUTO 10SM OVC055 15/04 A2974 330 49 400 M /M RMK AO2 T01500044 $
94728KNYC NYC20250601101011806/01/25 10:10:31  5-MIN KNYC 011510Z AUTO 26007G16KT 10SM OVC055 14/04 A2974 330 49 400 270/07G16 RMK AO2 T01440039 $
94728KNYC NYC20250601101511906/01/25 10:15:31  5-MIN KNYC 011515Z AUTO 00000KT 10SM FEW046 OVC055 15/04 A2974 330 47 400 000/00 RMK AO2 T01500039 $
94728KNYC NYC20250601102010206/01/25 10:20:31  5-MIN KNYC 011520Z AUTO 10SM OVC055 15/06 A2974 330 53 400 M /M RMK AO2 T01500056 $
94728KNYC NYC20250601102511906/01/25 10:25:31  5-MIN KNYC 011525Z AUTO VRB03KT 10SM FEW046 OVC055 15/05 A2974 330 51 400 VRB/03 RMK AO2 T01500050 $
94728KNYC NYC20250601103011206/01/25 10:30:31  5-MIN KNYC 011530Z AUTO 28007KT 10SM OVC055 15/04 A2974 330 47 400 290/07 RMK AO2 T01500039 $
94728KNYC NYC20250601103511806/01/25 10:35:31  5-MIN KNYC 011535Z AUTO VRB06G22KT 10SM OVC055 15/03 A2974 320 45 400 VRB/06G22 RMK AO2 T01500033 $
94728KNYC NYC20250601104013406/01/25 10:40:31  5-MIN KNYC 011540Z AUTO 28008G22KT 230V310 10SM OVC055 15/03 A2974 320 45 400 290/08G22 240V320 RMK AO2 T01500033 $
94728KNYC NYC20250601104514106/01/25 10:45:31  5-MIN KNYC 011545Z AUTO 27007G17KT 230V330 10SM BKN055 16/03 A2974 330 43 500 290/07G17 240V340 RMK AO2 SLP061 T01560033 $
94728KNYC NYC20250601105014106/01/25 10:50:31  5-MIN KNYC 011550Z AUTO 27012G22KT 230V300 10SM BKN055 16/03 A2974 330 42 600 280/12G22 240V310 RMK AO2 SLP062 T01610033 $
94728KNYC NYC20250601105511806/01/25 10:55:31  5-MIN KNYC 011555Z AUTO VRB06G22KT 10SM BKN060 16/03 A2974 330 40 600 VRB/06G22 RMK AO2 T01610028 $
94728KNYC NYC20250601110013406/01/25 11:00:31  5-MIN KNYC 011600Z AUTO 27009G21KT 230V300 10SM BKN060 17/03 A2974 330 40 600 280/09G21 240V310 RMK AO2 T01670033 $
94728KNYC NYC20250601110513406/01/25 11:05:31  5-MIN KNYC 011605Z AUTO 29008G21KT 250V030 10SM BKN060 17/03 A2974 330 39 600 300/08G21 260V040 RMK AO2 T01670028 $
94728KNYC NYC20250601111011806/01/25 11:10:31  5-MIN KNYC 011610Z AUTO 27010G21KT 10SM BKN060 16/03 A2974 330 40 600 280/10G21 RMK AO2 T01610028 $
94728KNYC NYC20250601111513406/01/25 11:15:31  5-MIN KNYC 011615Z AUTO 29011G21KT 260V320 10SM BKN055 16/03 A2974 320 42 600 300/11G21 270V330 RMK AO2 T01610033 $
94728KNYC NYC20250601112013406/01/25 11:20:31  5-MIN KNYC 011620Z AUTO 30007G21KT 270V040 10SM BKN060 16/03 A2974 320 42 500 320/07G21 280V050 RMK AO2 T01560028 $
94728KNYC NYC20250601112511806/01/25 11:25:31  5-MIN KNYC 011625Z AUTO 26008G20KT 10SM BKN060 17/02 A2974 320 37 600 280/08G20 RMK AO2 T01670022 $
94728KNYC NYC20250601113013406/01/25 11:30:31  5-MIN KNYC 011630Z AUTO 28010G20KT 240V320 10SM BKN060 16/02 A2974 320 39 600 300/10G20 250V330 RMK AO2 T01610022 $
94728KNYC NYC20250601113513406/01/25 11:35:31  5-MIN KNYC 011635Z AUTO 27007G19KT 210V320 10SM BKN060 17/03 A2974 320 39 600 290/07G19 220V330 RMK AO2 T01670028 $
94728KNYC NYC20250601114013406/01/25 11:40:31  5-MIN KNYC 011640Z AUTO 28010G19KT 250V330 10SM BKN060 17/02 A2974 320 36 700 290/10G19 260V340 RMK AO2 T01720022 $
