timestamp,ticker,action,actual_price,expected_price,slippage,actual_fee,calc_fee,fee_diff,qty,ts_diff
2025-12-24 05:00:33.347923,KXHIGHNY-25DEC24-T47,BUY_NO,93,,,0.01,0.01,0.0,1,
2025-12-24 05:00:36.702633,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:00:40.438722,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,,,0.03,0.03,0.0,2,
2025-12-24 05:00:45.396596,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,,,0.03,0.03,0.0,2,
2025-12-24 05:00:53.591706,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:00:55.982617,KXHIGHNY-25DEC24-B44.5,BUY_NO,48,,,0.02,0.02,0.0,1,
2025-12-24 05:01:00.873948,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:03:55.362987,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,,,0.02,0.02,0.0,1,
2025-12-24 05:04:01.653569,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:04:06.761235,KXHIGHNY-25DEC24-B42.5,BUY_YES,22,,,0.03,0.03,0.0,2,
2025-12-24 05:04:09.524452,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,,,0.02,0.02,0.0,1,
2025-12-24 05:04:14.381832,KXHIGHNY-25DEC24-B42.5,BUY_YES,21,,,0.03,0.03,0.0,2,
2025-12-24 05:04:18.397695,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,,,0.02,0.02,0.0,1,
2025-12-24 05:04:20.692009,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.02,0.02,0.0,1,
2025-12-24 05:16:06.488214,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,,,0.02,0.02,0.0,1,
2025-12-24 05:16:55.695207,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,,,0.02,0.02,0.0,1,
2025-12-24 05:17:18.217871,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,,,0.02,0.02,0.0,1,
