time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,strategy
2025-12-13 05:09:31.944820,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,32,0.56,16.88,MM,2,459.9099999999998,1.0,50.0,RegimeSwitcher
2025-12-13 05:09:36.381617,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,30,0.53,15.83,MM,2,444.0799999999998,1.0,50.0,RegimeSwitcher
2025-12-13 05:14:07.350160,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,27,0.48,14.25,MM,2,429.8299999999998,1.0,50.0,RegimeSwitcher
2025-12-13 05:14:47.167495,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,21,0.37,11.08,MM,2,418.74999999999983,1.0,50.0,RegimeSwitcher
2025-12-13 05:15:22.883067,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,16,0.28,8.44,MM,1,410.30999999999983,0.5,49.5,RegimeSwitcher
2025-12-13 05:16:22.690084,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,12,0.21,6.33,MM,2,403.97999999999985,1.0,50.0,RegimeSwitcher
2025-12-13 05:18:04.875265,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,8,0.14,4.22,MM,2,399.7599999999998,1.0,50.0,RegimeSwitcher
2025-12-13 05:18:58.050325,BUY_NO,KXHIGHNY-25DEC13-B38.5,50,10,0.18,5.18,MM,1,394.5799999999998,0.5,50.5,RegimeSwitcher
2025-12-13 05:21:21.681417,BUY_NO,KXHIGHNY-25DEC13-B38.5,50,6,0.11,3.11,MM,2,391.4699999999998,1.0,51.0,RegimeSwitcher
2025-12-13 05:22:20.885276,BUY_NO,KXHIGHNY-25DEC13-B38.5,49,8,0.14,4.06,MM,1,387.4099999999998,0.5,51.5,RegimeSwitcher
2025-12-13 05:26:15.488110,BUY_NO,KXHIGHNY-25DEC13-B38.5,49,3,0.06,1.53,MM,2,385.8799999999998,1.0,52.0,RegimeSwitcher
2025-12-13 05:27:45.082834,BUY_NO,KXHIGHNY-25DEC13-B38.5,48,5,0.09,2.4899999999999998,MM,1,383.3899999999998,0.5,52.5,RegimeSwitcher
2025-12-13 05:28:42.574955,BUY_NO,KXHIGHNY-25DEC13-B38.5,47,2,0.04,0.98,MM,2,382.4099999999998,1.0,54.0,RegimeSwitcher
2025-12-13 05:28:54.783980,BUY_NO,KXHIGHNY-25DEC13-B38.5,46,3,0.06,1.4400000000000002,MM,2,380.9699999999998,1.0,55.0,RegimeSwitcher
2025-12-13 05:30:25.353159,BUY_NO,KXHIGHNY-25DEC13-B38.5,46,2,0.04,0.9600000000000001,MM,1,380.0099999999998,0.5,54.5,RegimeSwitcher
2025-12-13 05:31:32.106802,BUY_NO,KXHIGHNY-25DEC13-B38.5,46,1,0.02,0.48000000000000004,MM,2,379.5299999999998,1.0,55.0,RegimeSwitcher
2025-12-13 05:32:40.698820,BUY_NO,KXHIGHNY-25DEC13-B38.5,45,5,0.09,2.34,MM,1,377.1899999999998,0.5,55.5,RegimeSwitcher
2025-12-13 05:42:45.434103,BUY_YES,KXHIGHNY-25DEC13-T36,2,53,0.08,1.1400000000000001,MM,1,376.04999999999984,0.5,1.5,RegimeSwitcher
2025-12-13 05:56:56.569630,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,144,0.48,7.68,MM,1,368.36999999999983,0.5,4.5,RegimeSwitcher
2025-12-13 05:56:59.767341,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,68,0.23,3.6300000000000003,MM,2,364.73999999999984,1.0,4.0,RegimeSwitcher
2025-12-13 05:57:40.664983,BUY_NO,KXHIGHNY-25DEC13-B40.5,57,8,0.14,4.699999999999999,MM,1,360.03999999999985,0.5,43.5,RegimeSwitcher
2025-12-13 05:58:12.512960,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,48,0.16,2.5600000000000005,MM,1,357.47999999999985,0.5,4.5,RegimeSwitcher
2025-12-13 06:01:57.772445,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,31,0.11,1.6600000000000001,MM,2,355.8199999999998,1.0,4.0,RegimeSwitcher
