time,action,ticker,price,qty,fee,cost,source,capital_after
2025-12-25 05:00:16.667729,BUY_YES,KXHIGHNY-25DEC25-B47.5,33,1,0.02,0.35000000000000003,Replay,46.32
2025-12-25 05:00:18.921215,BUY_YES,KXHIGHNY-25DEC25-B45.5,28,1,0.02,0.30000000000000004,Replay,46.02
2025-12-25 05:00:19.161629,BUY_YES,KXHIGHNY-25DEC25-B47.5,37,1,0.02,0.39,Replay,45.63
2025-12-25 05:00:21.894847,BUY_YES,KXHIGHNY-25DEC25-B45.5,28,1,0.02,0.30000000000000004,Replay,45.330000000000005
2025-12-25 05:00:25.783807,BUY_YES,KXHIGHNY-25DEC25-B45.5,27,1,0.02,0.29000000000000004,Replay,45.040000000000006
2025-12-25 05:00:29.334586,BUY_YES,KXHIGHNY-25DEC25-B45.5,26,1,0.02,0.28,Replay,44.760000000000005
2025-12-25 05:00:32.141765,BUY_YES,KXHIGHNY-25DEC25-B45.5,28,1,0.02,0.30000000000000004,Replay,44.46000000000001
2025-12-25 05:00:34.713833,BUY_YES,KXHIGHNY-25DEC25-B45.5,24,1,0.02,0.26,Replay,44.20000000000001
2025-12-25 05:00:39.894042,BUY_YES,KXHIGHNY-25DEC25-B45.5,28,1,0.02,0.30000000000000004,Replay,43.90000000000001
2025-12-25 05:00:42.839823,BUY_YES,KXHIGHNY-25DEC25-B45.5,28,1,0.02,0.30000000000000004,Replay,43.600000000000016
2025-12-25 05:00:49.229124,BUY_YES,KXHIGHNY-25DEC25-B45.5,27,1,0.02,0.29000000000000004,Replay,43.31000000000002
2025-12-25 05:00:52.432831,BUY_YES,KXHIGHNY-25DEC25-B45.5,28,1,0.02,0.30000000000000004,Replay,43.01000000000002
2025-12-25 05:00:56.560813,BUY_YES,KXHIGHNY-25DEC25-B45.5,25,1,0.02,0.27,Replay,42.740000000000016
2025-12-25 05:01:00.555815,BUY_YES,KXHIGHNY-25DEC25-B45.5,24,1,0.02,0.26,Replay,42.48000000000002
2025-12-25 05:01:12.793254,BUY_YES,KXHIGHNY-25DEC25-B45.5,24,1,0.02,0.26,Replay,42.22000000000002
2025-12-25 05:01:19.543108,BUY_YES,KXHIGHNY-25DEC25-B45.5,20,1,0.02,0.22,Replay,42.00000000000002
2025-12-25 05:01:22.953723,BUY_YES,KXHIGHNY-25DEC25-B45.5,20,1,0.02,0.22,Replay,41.78000000000002
2025-12-25 05:01:32.157610,BUY_YES,KXHIGHNY-25DEC25-B45.5,21,1,0.02,0.22999999999999998,Replay,41.550000000000026
2025-12-25 05:02:05.556355,BUY_YES,KXHIGHNY-25DEC25-B45.5,19,6,0.07,1.2100000000000002,Replay,40.340000000000025
2025-12-25 05:02:08.488148,BUY_YES,KXHIGHNY-25DEC25-B45.5,19,5,0.06,1.01,Replay,39.33000000000003
2025-12-25 05:02:30.671858,BUY_YES,KXHIGHNY-25DEC25-B47.5,30,7,0.11,2.21,Replay,37.120000000000026
2025-12-25 05:02:43.196127,BUY_YES,KXHIGHNY-25DEC25-B47.5,30,5,0.08,1.58,Replay,35.54000000000003
2025-12-25 05:02:45.521252,BUY_YES,KXHIGHNY-25DEC25-B47.5,30,3,0.05,0.95,Replay,34.590000000000025
2025-12-25 05:02:47.782750,BUY_YES,KXHIGHNY-25DEC25-B47.5,30,2,0.03,0.63,Replay,33.96000000000002
2025-12-25 05:02:50.668222,BUY_YES,KXHIGHNY-25DEC25-B47.5,30,1,0.02,0.32,Replay,33.64000000000002
2025-12-25 05:08:13.472543,BUY_YES,KXHIGHNY-25DEC25-T48,35,1,0.02,0.37,Replay,33.270000000000024
2025-12-25 05:09:55.589989,BUY_YES,KXHIGHNY-25DEC25-T48,32,4,0.07,1.35,Replay,31.920000000000023
2025-12-25 05:10:00.238309,BUY_YES,KXHIGHNY-25DEC25-T48,30,6,0.09,1.89,Replay,30.030000000000022
2025-12-25 05:10:08.020642,BUY_YES,KXHIGHNY-25DEC25-T48,32,2,0.04,0.68,Replay,29.350000000000023
2025-12-25 05:10:11.274780,BUY_YES,KXHIGHNY-25DEC25-T48,32,2,0.04,0.68,Replay,28.670000000000023
2025-12-25 05:10:17.118653,BUY_YES,KXHIGHNY-25DEC25-T48,32,1,0.02,0.34,Replay,28.330000000000023
2025-12-25 05:10:20.346554,BUY_YES,KXHIGHNY-25DEC25-T48,32,1,0.02,0.34,Replay,27.990000000000023
2025-12-25 05:16:33.360041,BUY_YES,KXHIGHNY-25DEC25-B47.5,39,4,0.07,1.6300000000000001,Replay,26.360000000000024
2025-12-25 05:16:36.579364,BUY_YES,KXHIGHNY-25DEC25-B47.5,41,2,0.04,0.86,Replay,25.500000000000025
2025-12-25 05:16:41.248672,BUY_YES,KXHIGHNY-25DEC25-B47.5,40,3,0.06,1.2600000000000002,Replay,24.240000000000023
