time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,note
2025-12-10 09:30:20.063912,BUY_NO,KXHIGHNY-25DEC10-B42.5,94.0,3,0.02,2.84,MM,3.0,271.0200000000001,1.5,7.5,
2025-12-10 09:30:32.314593,BUY_YES,KXHIGHNY-25DEC10-B46.5,46.0,2,0.04,0.9600000000000001,MM,3.0,270.0600000000001,1.5,44.5,
2025-12-10 09:49:39.201807,BUY_NO,KXHIGHNY-25DEC10-T47,93.0,3,0.02,2.81,MM,1.0,267.2500000000001,1.5,8.5,
2025-12-10 09:49:43.532675,BUY_NO,KXHIGHNY-25DEC10-T47,92.0,6,0.04,5.5600000000000005,MM,3.0,261.6900000000001,1.5,9.5,
2025-12-10 09:49:44.966004,BUY_NO,KXHIGHNY-25DEC10-T47,92.0,5,0.03,4.630000000000001,MM,4.0,257.0600000000001,2.0,10.0,
2025-12-10 09:51:54.468880,BUY_YES,KXHIGHNY-25DEC10-B44.5,46.0,1,0.02,0.48000000000000004,MM,8.0,256.5800000000001,4.0,42.0,
2025-12-10 09:51:59.238415,BUY_YES,KXHIGHNY-25DEC10-B44.5,45.0,3,0.06,1.4100000000000001,MM,6.0,255.1700000000001,4.0,41.0,
2025-12-10 09:52:00.004717,BUY_NO,KXHIGHNY-25DEC10-T47,92.0,2,0.02,1.86,MM,4.0,253.3100000000001,2.0,10.0,
2025-12-10 09:52:01.072057,BUY_YES,KXHIGHNY-25DEC10-B44.5,44.0,6,0.11,2.75,MM,5.0,250.5600000000001,2.5,41.5,
2025-12-10 09:52:01.551602,BUY_YES,KXHIGHNY-25DEC10-B44.5,44.0,5,0.09,2.29,MM,4.0,248.2700000000001,3.0,41.0,
2025-12-10 09:52:02.412020,BUY_NO,KXHIGHNY-25DEC10-T47,92.0,1,0.01,0.93,MM,3.0,247.3400000000001,1.5,9.5,
2025-12-10 09:52:02.744992,BUY_YES,KXHIGHNY-25DEC10-B44.5,43.0,8,0.14,3.58,MM,4.0,243.76000000000008,2.0,41.0,
2025-12-10 09:52:06.410091,BUY_YES,KXHIGHNY-25DEC10-B44.5,43.0,3,0.06,1.35,MM,4.0,242.41000000000008,2.0,41.0,
2025-12-10 09:52:12.851924,BUY_NO,KXHIGHNY-25DEC10-T47,91.0,3,0.02,2.75,MM,2.0,239.66000000000008,1.0,10.0,
2025-12-10 09:52:13.188754,BUY_NO,KXHIGHNY-25DEC10-T47,91.0,2,0.02,1.84,MM,1.0,237.82000000000008,0.5,9.5,
2025-12-10 09:54:21.518411,BUY_YES,KXHIGHNY-25DEC10-B44.5,35.0,16,0.26,5.859999999999999,MM,3.0,231.9600000000001,2.5,32.5,
2025-12-10 09:54:46.409211,BUY_YES,KXHIGHNY-25DEC10-B44.5,34.0,11,0.18,3.9200000000000004,MM,3.0,228.0400000000001,1.5,32.5,
2025-12-10 09:54:57.960571,BUY_YES,KXHIGHNY-25DEC10-B44.5,34.0,8,0.13,2.85,MM,5.0,225.1900000000001,2.5,31.5,
2025-12-10 09:54:58.183936,BUY_YES,KXHIGHNY-25DEC10-B44.5,34.0,6,0.1,2.14,MM,4.0,223.05000000000013,2.0,32.0,
2025-12-10 09:54:58.296778,BUY_YES,KXHIGHNY-25DEC10-B44.5,34.0,4,0.07,1.4300000000000002,MM,3.0,221.62000000000012,2.5,31.5,
