timestamp,ticker,yes_bid,yes_ask,no_bid,no_ask,last_price,open_interest,volume,liquidity
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV25-B58.5,20,24,76,80,20,651,694,704657
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV25-B56.5,33,34,66,67,33,1734,2186,790626
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV25-B54.5,35,37,63,65,37,4278,5012,1053175
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,539455
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,292431
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,284936
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,318707
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,38927,220840
2025-11-24T23:44:43.213335+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2682063
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,414121
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,349560
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV25-B58.5,20,24,76,80,20,651,694,703546
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV25-B56.5,33,34,66,67,33,1734,2186,790515
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV25-B54.5,35,37,63,65,37,4278,5012,1053801
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,581623
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,292431
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,284936
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,318707
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,38927,220840
2025-11-24T23:45:43.377720+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2684993
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,413899
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,371184
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV25-B58.5,20,24,76,80,20,651,694,732200
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV25-B56.5,32,37,63,68,32,1736,2188,790654
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV25-B54.5,35,37,63,65,37,4278,5012,1052872
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,581246
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,292431
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,284936
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,318707
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,38927,220840
2025-11-24T23:46:43.462669+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2694200
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV25-T59,3,6,94,97,3,237,269,411772
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,367808
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV25-B58.5,20,23,77,80,20,651,694,699970
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV25-B56.5,32,35,65,68,32,1736,2188,778899
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV25-B54.5,36,37,63,64,37,4278,5012,1049343
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,582530
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,288631
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,236136
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,269907
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,38927,220840
2025-11-24T23:47:43.640790+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2694200
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV25-T59,3,6,94,97,3,237,269,413939
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,371184
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV25-B58.5,20,22,78,80,20,651,694,725638
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV25-B56.5,33,35,65,67,32,1736,2188,787931
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV25-B54.5,35,38,62,65,37,4278,5012,1052716
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,588503
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,292431
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,284936
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,318707
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,38927,220840
2025-11-24T23:48:43.787746+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2694593
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV25-T59,3,6,94,97,3,237,269,413939
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,342431
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV25-B58.5,20,21,79,80,20,651,694,723974
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV25-B56.5,34,37,63,66,33,1736,2189,786222
