timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask,last_trade_price
2026-01-08T23:07:21.904608,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:22.351813,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:22.597232,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:22.875058,KXHIGHNY-26JAN09-B55.5,10,86,90,14,11
2026-01-08T23:07:22.989961,KXHIGHNY-26JAN09-B49.5,17,80,83,20,17
2026-01-08T23:07:23.016307,KXHIGHNY-26JAN09-B51.5,40,55,60,45,41
2026-01-08T23:07:23.046429,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:23.100409,KXHIGHNY-26JAN09-B49.5,18,80,82,20,17
2026-01-08T23:07:23.213606,KXHIGHNY-26JAN09-B55.5,11,86,89,14,11
2026-01-08T23:07:24.204816,KXHIGHNY-26JAN09-B51.5,40,56,60,44,41
2026-01-08T23:07:24.733425,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:25.149982,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:25.453845,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:25.870183,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:26.265048,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:26.631689,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:27.009707,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:27.456934,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:28.092670,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:28.695504,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:29.290582,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:29.804633,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:30.318123,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:30.837183,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:31.281080,KXHIGHNY-26JAN09-B53.5,27,68,73,32,32
2026-01-08T23:07:31.663995,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:31.764078,KXHIGHNY-26JAN09-B49.5,17,80,83,20,17
2026-01-08T23:07:31.800904,KXHIGHNY-26JAN09-B51.5,40,55,60,45,41
2026-01-08T23:07:31.874835,KXHIGHNY-26JAN09-B49.5,18,80,82,20,17
2026-01-08T23:07:32.351751,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:34.153645,KXHIGHNY-26JAN09-B51.5,40,54,60,46,41
2026-01-08T23:07:34.200143,KXHIGHNY-26JAN09-B51.5,40,55,60,45,41
2026-01-08T23:07:35.655698,KXHIGHNY-26JAN09-B55.5,10,86,90,14,11
2026-01-08T23:07:35.785569,KXHIGHNY-26JAN09-B51.5,41,55,59,45,41
2026-01-08T23:07:35.999153,KXHIGHNY-26JAN09-B55.5,11,86,89,14,11
2026-01-08T23:07:36.028664,KXHIGHNY-26JAN09-B53.5,27,69,73,31,32
2026-01-08T23:07:36.049673,KXHIGHNY-26JAN09-B51.5,41,53,59,47,41
2026-01-08T23:07:36.050945,KXHIGHNY-26JAN09-B51.5,41,56,59,44,41
2026-01-08T23:07:36.127990,KXHIGHNY-26JAN09-B53.5,27,68,73,32,32
2026-01-08T23:07:36.128991,KXHIGHNY-26JAN09-B53.5,27,67,73,33,32
2026-01-08T23:07:36.128991,KXHIGHNY-26JAN09-B53.5,32,67,68,33,32
2026-01-08T23:07:36.130990,KXHIGHNY-26JAN09-B51.5,40,56,60,44,41
2026-01-08T23:07:36.130990,KXHIGHNY-26JAN09-B51.5,40,53,60,47,41
2026-01-08T23:07:36.132180,KXHIGHNY-26JAN09-B51.5,40,59,60,41,41
2026-01-08T23:07:36.147288,KXHIGHNY-26JAN09-B55.5,11,87,89,13,11
